slice_file_name,start,end,salience,fold,classID,class
100032-3-0-0.wav,0.0,0.317551,1,5,3,dog_bark
100263-2-0-117.wav,58.5,62.5,1,5,2,children_playing
100263-2-0-121.wav,60.5,64.5,1,5,2,children_playing
100263-2-0-126.wav,63.0,67.0,1,5,2,children_playing
100263-2-0-137.wav,68.5,72.5,1,5,2,children_playing
100263-2-0-143.wav,71.5,75.5,1,5,2,children_playing
100263-2-0-161.wav,80.5,84.5,1,5,2,children_playing
100263-2-0-3.wav,1.5,5.5,1,5,2,children_playing
100263-2-0-36.wav,18.0,22.0,1,5,2,children_playing
100652-3-0-0.wav,0.0,4.0,1,2,3,dog_bark
100652-3-0-1.wav,0.5,4.5,1,2,3,dog_bark
100652-3-0-2.wav,1.0,5.0,1,2,3,dog_bark
100652-3-0-3.wav,1.5,5.5,1,2,3,dog_bark
100852-0-0-0.wav,0.0,4.0,1,5,0,air_conditioner
100852-0-0-1.wav,0.5,4.5,1,5,0,air_conditioner
100852-0-0-10.wav,5.0,9.0,1,5,0,air_conditioner
100852-0-0-11.wav,5.5,9.5,1,5,0,air_conditioner
100852-0-0-12.wav,6.0,10.0,1,5,0,air_conditioner
100852-0-0-13.wav,6.5,10.5,1,5,0,air_conditioner
100852-0-0-14.wav,7.0,11.0,1,5,0,air_conditioner
100852-0-0-15.wav,7.5,11.5,1,5,0,air_conditioner
100852-0-0-16.wav,8.0,12.0,1,5,0,air_conditioner
100852-0-0-17.wav,8.5,12.5,1,5,0,air_conditioner
100852-0-0-18.wav,9.0,13.0,1,5,0,air_conditioner
100852-0-0-19.wav,9.5,13.5,1,5,0,air_conditioner
100852-0-0-2.wav,1.0,5.0,1,5,0,air_conditioner
100852-0-0-20.wav,10.0,14.0,1,5,0,air_conditioner
100852-0-0-21.wav,10.5,14.5,1,5,0,air_conditioner
100852-0-0-22.wav,11.0,15.0,1,5,0,air_conditioner
100852-0-0-23.wav,11.5,15.5,1,5,0,air_conditioner
100852-0-0-24.wav,12.0,16.0,1,5,0,air_conditioner
